Name,LocativeName,Region
Торез,Торезе,
Троицкое,Троицком,
Тростянец,Тростянце,Винницкая область
Тростянец,Тростянце,Сумская область
Трускавец,Трускавце,
Тульчин,Тульчине,
Турийск,Турийске,
Турка,Турке,
Тывров,Тыврове,
Тысменица,Тысменице,
Тячев,Тячеве,
Угледар,Угледаре,
Угнев,Угневе,
Ужгород,Ужгороде,
Узин,Узине,
Украинка,Украинке,
Ульяновка,Ульяновке,Кировоградская область
Умань,Умани,
Устилуг,Устилуге,
Устиновка,Устиновке,
Фастов,Фастове,
Фрунзовка,Фрунзовке,
Харцызск,Харцызске,
Харьков,Харькове,
Херсон,Херсоне,
Хмельник,Хмельнике,
Хмельницкий,Хмельницком,
Хорол,Хороле,
Хотин,Хотине,
Христиновка,Христиновке,
Хуст,Хусте,
Хыров,Хырове,
Царичанка,Царичанке,
Цюрупинск,Цюрупинске,
Чабаны,Чабанах,
Чаплинка,Чаплинке,
Чемеровцы,Чемеровцах,
Червоноармейск,Червоноармейске,
Червоноград,Червонограде,
Червонозаводское,Червонозаводском,
Червонопартизанск,Червонопартизанске,
Черкассы,,
Чернигов,Чернигове,
Черниговка,Черниговке,
Чернобай,Чернобае,
Черновцы,Черновцы,
Чернухи,Чернухе,
Черняхов,Черняхове,
Чечельник,Чечельнике,
Чигирин,Чигирине,
Чоп,Чопе,
Чортков,Чорткове,
Чугуев,Чугуеве,
Чуднов,Чуднове,
Чутово,Чутове,
Шаргород,Шаргороде,
Шахтерск,Шахтерске,
Шацк,Шацк,Волынская область
Шевченково,Шевченкове,
Шепетовка,Шепетовке,
Широкое,Широком,
Ширяево,Ширяеве,
Шишаки,,
Шостка,Шостке,
Шпола,Шполе,
Шумск,Шумске,
Щорс,Щорсе,
Энергодар,Энергодаре,
Южноукраинск,Южноукраинске,
Южный,Южный,Одесская область
Юрьевка,Юрьевке,
Яворов,Яворове,
Яготин,Яготине,
Ямполь,Ямполе,Винницкая область
Ямполь,Ямполе,Сумская область
Яремче,Яремче,
Ярмолинцы,Ярмолинцах,
Ясиноватая,Ясиноватой,
